streams,total_fps,avg_fps_stream,cpu_avg,cpu_max,mem_avg
1,0,0.0,64.37999999999998,85.8,54.70666666666667
2,0,0.0,82.69333333333334,93.0,56.16666666666667
4,0,0.0,93.05333333333334,100.0,56.026666666666664
